                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.96506,                0.71303,                 1.2398,                0.87636,                0.81818,                0.89678,                0.64184,                0.97875,                0.59933,                 1.1881,               0.006931,               0.006931,               0.006931
                     65,                0.96224,                0.71158,                 1.2409,                0.87783,                0.81692,                0.89748,                0.64228,                0.97838,                0.59893,                  1.188,              0.0068815,              0.0068815,              0.0068815
                     66,                 0.9625,                0.70878,                 1.2342,                0.87915,                0.81601,                0.89746,                0.64262,                0.97801,                0.59825,                 1.1873,               0.006832,               0.006832,               0.006832
                     67,                0.95686,                0.70836,                  1.232,                0.87773,                0.81761,                0.89775,                0.64291,                0.97758,                0.59715,                 1.1869,              0.0067825,              0.0067825,              0.0067825
                     68,                0.95504,                0.70393,                 1.2291,                0.87491,                0.82051,                0.89785,                0.64349,                0.97675,                0.59641,                 1.1861,               0.006733,               0.006733,               0.006733
                     69,                0.95707,                0.70125,                 1.2302,                0.87274,                0.82343,                0.89845,                 0.6439,                0.97668,                0.59553,                 1.1855,              0.0066835,              0.0066835,              0.0066835
                     70,                0.94961,                0.69672,                 1.2264,                 0.8677,                0.83038,                0.89837,                0.64425,                 0.9761,                0.59433,                 1.1846,               0.006634,               0.006634,               0.006634
                     71,                0.95254,                0.69454,                 1.2321,                0.86972,                0.82664,                0.89851,                0.64457,                0.97597,                0.59388,                 1.1846,              0.0065845,              0.0065845,              0.0065845
                     72,                0.94669,                0.69597,                  1.225,                0.87284,                0.82343,                0.89848,                0.64415,                0.97634,                0.59287,                 1.1847,               0.006535,               0.006535,               0.006535
                     73,                0.93834,                0.68584,                 1.2208,                0.87451,                 0.8227,                0.89866,                0.64448,                0.97637,                0.59237,                 1.1848,              0.0064855,              0.0064855,              0.0064855
                     74,                0.94812,                0.69165,                 1.2262,                0.87342,                0.82517,                0.89945,                0.64501,                0.97644,                0.59078,                 1.1849,               0.006436,               0.006436,               0.006436
                     75,                0.94027,                0.68149,                 1.2257,                0.87349,                0.82441,                0.89883,                0.64473,                0.97667,                0.58909,                 1.1849,              0.0063865,              0.0063865,              0.0063865
                     76,                0.93869,                 0.6817,                 1.2203,                0.87454,                0.82411,                 0.8985,                0.64508,                0.97648,                0.58798,                 1.1852,               0.006337,               0.006337,               0.006337
